"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.155179370E-1,8.126219749E0,1.199495077E0,1.145655441E1,1.409705199E1
3.175728370E-1,8.921094894E0,1.479616642E0,1.189708710E1,1.494375726E1
3.196278030E-1,9.651326180E0,1.642422318E0,1.256267548E1,1.592691003E1
3.216699360E-1,1.002721596E1,2.030282974E0,1.297926712E1,1.652659928E1
3.237120360E-1,1.078617764E1,2.509123325E0,1.397286034E1,1.782913778E1
3.257541360E-1,1.160260105E1,3.004723072E0,1.491647530E1,1.913504500E1
3.277962690E-1,1.199524975E1,3.263296843E0,1.530673027E1,1.971880104E1
3.298383690E-1,1.274224091E1,3.744531393E0,1.589091492E1,2.071007956E1
3.318805020E-1,1.337909794E1,4.137180328E0,1.625962257E1,2.145907381E1
3.339226020E-1,1.362809563E1,4.288015366E0,1.637693787E1,2.173283599E1
3.359646350E-1,1.403510952E1,4.469974518E0,1.656608009E1,2.216754342E1
3.380066350E-1,1.429128933E1,4.544194698E0,1.673846245E1,2.247369087E1
3.400485680E-1,1.440142250E1,4.534617901E0,1.683423042E1,2.261316085E1
3.420905340E-1,1.464084244E1,4.501099110E0,1.702337265E1,2.289998639E1
3.441325670E-1,1.502182007E1,4.443638325E0,1.724842834E1,2.330041373E1
3.461745670E-1,1.552699661E1,4.436455727E0,1.739208031E1,2.373297749E1
3.482165330E-1,1.582148361E1,4.477157116E0,1.778233528E1,2.421932550E1
3.502584660E-1,1.648467636E1,4.606443882E0,1.829708862E1,2.505488639E1
3.523004320E-1,1.719814873E1,4.831499100E0,1.891958046E1,2.602057317E1
3.543423650E-1,1.753333855E1,4.975450516E0,1.926913452E1,2.652305815E1
3.563559980E-1,1.815822411E1,5.289090633E0,2.000894165E1,2.753276827E1
3.583695980E-1,1.869931412E1,5.585971832E0,2.070804977E1,2.845506555E1
3.603831980E-1,1.892197418E1,5.720046997E0,2.103126717E1,2.886302554E1
3.623967980E-1,1.933377647E1,5.885247231E0,2.156038475E1,2.955133226E1
3.644104310E-1,1.959713936E1,5.976226807E0,2.191472626E1,3.000030641E1
3.664241310E-1,1.968093681E1,5.981015205E0,2.203443718E1,3.014346096E1
3.684378970E-1,1.979106903E1,5.952284813E0,2.214456940E1,3.029023047E1
3.704517300E-1,1.975755119E1,5.902006626E0,2.209668541E1,3.022346799E1
3.724656300E-1,1.968093681E1,5.858911037E0,2.201767731E1,3.010721220E1
3.744795630E-1,1.945348740E1,5.712864399E0,2.198894691E1,2.990967699E1
3.764926630E-1,1.928589249E1,5.708076000E0,2.203922462E1,2.983714468E1
3.785056630E-1,1.889563751E1,5.641038418E0,2.206556129E1,2.959316520E1
3.805186290E-1,1.872565079E1,5.554847240E0,2.199612999E1,2.941659497E1
3.825316290E-1,1.841201019E1,5.293879032E0,2.174713326E1,2.898215105E1
3.845446290E-1,1.805287933E1,4.927566528E0,2.148377037E1,2.849104690E1
3.865576950E-1,1.784458351E1,4.754884720E0,2.134490585E1,2.822486661E1
3.885707950E-1,1.737771416E1,4.417302132E0,2.097380638E1,2.759344237E1
3.905839280E-1,1.684141350E1,4.108449936E0,2.056439781E1,2.689622700E1
3.925971280E-1,1.657086945E1,3.979163170E0,2.034412956E1,2.653885946E1
3.946103610E-1,1.608245087E1,3.754108191E0,1.993951035E1,2.589058955E1
3.966236940E-1,1.573529243E1,3.610456228E0,1.948940086E1,2.530753975E1
