"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.760635432E0,-2.327163935E0,3.634398222E0,1.410184860E0
6.762652632E0,-2.480392933E0,3.629609823E0,1.051054597E0
6.764669450E0,-2.607285738E0,3.660734415E0,7.158663273E-1
6.766685950E0,-2.652775526E0,3.682282209E0,5.554547906E-1
6.768702180E0,-2.698265314E0,3.734954596E0,2.274491638E-1
6.770718251E0,-2.729389906E0,3.782838583E0,-8.619125932E-2
6.772734184E0,-2.743755102E0,3.806780815E0,-2.346317619E-1
6.774749934E0,-2.767697096E0,3.835511208E0,-5.315127969E-1
6.776765522E0,-2.822763920E0,3.888183594E0,-8.092401624E-1
6.778780799E0,-2.868253708E0,3.936067581E0,-1.048660398E0
6.780795904E0,-2.880224705E0,3.957615376E0,-1.149216771E0
6.782810804E0,-2.913743496E0,3.981557369E0,-1.328781962E0
6.784833899E0,-2.952050686E0,3.998316765E0,-1.460463047E0
6.786856535E0,-2.971204281E0,4.010287762E0,-1.505952835E0
6.788878752E0,-2.999934673E0,4.053383350E0,-1.568202138E0
6.790900502E0,-3.026270866E0,4.079719543E0,-1.572990537E0
6.792921822E0,-2.997540474E0,4.094084740E0,-1.537077546E0
6.794942783E0,-2.997540474E0,4.132391930E0,-1.525106430E0
6.796963412E0,-3.019088268E0,4.156333923E0,-1.508347034E0
6.798983733E0,-3.031059265E0,4.175487995E0,-1.486799240E0
6.801003767E0,-3.023876667E0,4.168305397E0,-1.486799240E0
6.803023567E0,-3.035847664E0,4.165910721E0,-1.498770237E0
6.805043400E0,-3.074155092E0,4.122815132E0,-1.534683347E0
6.807063200E0,-3.102885485E0,4.113238335E0,-1.546654344E0
6.809082966E0,-3.201047659E0,4.048594952E0,-1.556231141E0
6.811102766E0,-3.277662039E0,3.969586372E0,-1.532289028E0
6.813122499E0,-3.320757866E0,3.936067581E0,-1.503558636E0
6.815142165E0,-3.414131641E0,3.852270603E0,-1.403002143E0
6.817161765E0,-3.538630009E0,3.694253206E0,-1.192312479E0
6.819180031E0,-3.572149038E0,3.694253206E0,-1.192312479E0
6.821198264E0,-3.622427225E0,3.588908434E0,-9.911994934E-1
6.823216464E0,-3.701435804E0,3.471592426E0,-7.517793179E-1
6.825234664E0,-3.806780815E0,3.344699860E0,-5.219359994E-1
6.827252864E0,-3.864241600E0,3.287238836E0,-3.974374831E-1
6.829271030E0,-4.017470360E0,3.141192675E0,-1.125274822E-1
6.831289130E0,-4.209006786E0,2.935291290E0,1.532289088E-1
6.833307130E0,-4.311957359E0,2.834734917E0,2.777273953E-1
6.835325130E0,-4.501099110E0,2.631227732E0,5.315127969E-1
6.837343096E0,-4.687847137E0,2.420537949E0,6.751648784E-1
6.839361129E0,-4.807557106E0,2.327163935E0,7.517793179E-1
6.841379162E0,-5.080795288E0,2.178723574E0,9.385270476E-1
6.843397262E0,-5.339369297E0,2.061407566E0,1.115697980E0
6.845409528E0,-5.454290867E0,2.032677174E0,1.199495077E0
6.847421794E0,-5.667374611E0,1.984793186E0,1.333570361E0
6.849434094E0,-5.849334240E0,1.956062794E0,1.458068848E0
6.851446460E0,-6.036081791E0,1.920149803E0,1.558625340E0
6.853458926E0,-6.124667168E0,1.891419291E0,1.596932530E0
6.855471392E0,-6.328174591E0,1.812410712E0,1.654393315E0
6.857483825E0,-6.562806129E0,1.697489023E0,1.678335428E0
6.859496225E0,-6.696881294E0,1.618480325E0,1.675941229E0
6.861508625E0,-6.965032101E0,1.441309452E0,1.654393315E0
6.863520958E0,-7.273883820E0,1.266532660E0,1.620874524E0
6.865542491E0,-7.556399822E0,1.086967587E0,1.568202138E0
6.867564057E0,-7.688080788E0,1.005564690E0,1.529894829E0
6.869585623E0,-7.929895401E0,8.403648138E-1,1.414973259E0
6.871607156E0,-8.212410927E0,6.799532771E-1,1.261744261E0
6.873628689E0,-8.365639687E0,6.105214357E-1,1.175553083E0
6.875650222E0,-8.698433876E0,4.381389022E-1,9.313444495E-1
6.877671788E0,-9.074323654E0,2.537853718E-1,6.679822803E-1
6.879693421E0,-9.275436401E0,1.364694983E-1,5.051765442E-1
6.881715021E0,-9.634567261E0,-1.316810995E-1,1.029506698E-1
6.883736587E0,-9.967360497E0,-3.806780577E-1,-3.687070608E-1
6.885758153E0,-1.027621269E1,-5.219359994E-1,-8.595184088E-1
6.887779719E0,-1.040789413E1,-7.757213712E-1,-1.113303781E0
6.889801352E0,-1.067125607E1,-9.624691010E-1,-1.587355733E0
6.891822985E0,-1.092264748E1,-1.127668977E0,-2.027888775E0
6.893844718E0,-1.105911732E1,-1.225831270E0,-2.238578558E0
6.895866418E0,-1.137515163E1,-1.477222443E0,-2.652775526E0
6.897888118E0,-1.183244419E1,-1.838746905E0,-3.095702887E0
6.899937751E0,-1.238550472E1,-2.315192938E0,-3.562572241E0
6.901987417E0,-1.294095993E1,-2.861071110E0,-4.082113743E0
6.904037017E0,-1.319235039E1,-3.162740469E0,-4.364629745E0
6.906086583E0,-1.368076801E1,-3.801992416E0,-4.961085320E0
6.908136116E0,-1.410454178E1,-4.465186119E0,-5.559635639E0
6.910185582E0,-1.441339397E1,-4.778826714E0,-5.842151642E0
6.912235015E0,-1.450197887E1,-5.348946095E0,-6.347328186E0
6.914284381E0,-1.458098793E1,-5.880458832E0,-6.747159481E0
6.916333781E0,-1.452831554E1,-6.404788971E0,-7.020098686E0
6.918383247E0,-1.449719048E1,-6.670545101E0,-7.096713066E0
6.920432747E0,-1.441578770E1,-7.266701221E0,-7.142202854E0
6.922482247E0,-1.429128933E1,-7.963414192E0,-6.988974094E0
6.924531847E0,-1.422185707E1,-8.344092369E0,-6.847716331E0
6.926572213E0,-1.407341671E1,-9.210793495E0,-6.409577370E0
6.928612546E0,-1.389624596E1,-1.017086792E1,-5.830180645E0
6.930652812E0,-1.380047798E1,-1.066167927E1,-5.511751652E0
6.932693078E0,-1.354669285E1,-1.166963863E1,-4.845864296E0
6.934733378E0,-1.320192719E1,-1.271590424E1,-4.074931145E0
6.936773678E0,-1.298644924E1,-1.325699425E1,-3.646369219E0
6.938813978E0,-1.210538292E1,-1.494520569E1,-2.291250944E0
6.940854278E0,-1.172949314E1,-1.552939034E1,-1.838746905E0
6.942894578E0,-1.086758041E1,-1.672170258E1,-9.289502501E-1
6.944934811E0,-1.036958694E1,-1.730349350E1,-4.932055473E-1
6.946976044E0,-9.191639900E0,-1.844313431E1,3.830722570E-1
6.949016177E0,-7.786243439E0,-1.957319832E1,1.276109457E0
6.951056277E0,-6.988974094E0,-2.014541245E1,1.709460020E0
6.953096343E0,-5.267542839E0,-2.133054161E1,2.523488522E0
6.955136343E0,-3.385401249E0,-2.254200745E1,3.349488258E0
6.957176343E0,-2.365471363E0,-2.316689491E1,3.780444384E0
6.959216343E0,-1.532289088E-1,-2.437836075E1,4.632780075E0
6.961228376E0,2.363077164E0,-2.549914551E1,5.576395035E0
6.963240342E0,3.739742994E0,-2.598277473E1,6.069600582E0
6.965252342E0,6.818985939E0,-2.669624710E1,7.170933247E0
6.967264408E0,1.032649136E1,-2.707213593E1,8.303390503E0
6.969276474E0,1.434875011E1,-2.707692528E1,9.471760750E0
6.971288507E0,1.656368637E1,-2.689017677E1,1.015410900E1
6.973300540E0,2.145743370E1,-2.590855408E1,1.193300056E1
6.975312573E0,2.683271599E1,-2.401922989E1,1.409735870E1
6.977324539E0,2.963632584E1,-2.271917915E1,1.520856762E1
6.979336505E0,3.574662781E1,-1.919730759E1,1.732983017E1
6.981377338E0,4.179917145E1,-1.460971832E1,1.919491386E1
6.983418238E0,4.772751236E1,-9.131784439E0,2.044708061E1
6.985459104E0,5.324614716E1,-3.134010077E0,2.112224579E1
6.987499937E0,5.576275253E1,-6.464344263E-2,2.123477364E1
6.989540737E0,6.012738419E1,5.727229595E0,2.108154488E1
6.991581603E0,6.348644638E1,1.066886234E1,2.032258224E1
6.993622469E0,6.566786194E1,1.454507446E1,1.909435654E1
6.995663335E0,6.626402283E1,1.604414368E1,1.842398071E1
6.997704235E0,6.657287598E1,1.813667679E1,1.712871742E1
6.999745168E0,6.574687195E1,1.913266373E1,1.591725159E1
7.001787401E0,6.496396637E1,1.927392197E1,1.529475880E1
7.003829701E0,6.283761978E1,1.885972595E1,1.398962021E1
7.005872101E0,6.003400803E1,1.772726822E1,1.254831028E1
7.007913534E0,5.839398193E1,1.695394135E1,1.182047272E1
7.009956034E0,5.469493866E1,1.506730938E1,1.039113426E1
7.011998500E0,5.061492157E1,1.282843208E1,8.942642212E0
7.014041000E0,4.847929382E1,1.163611984E1,8.169315338E0
7.016083533E0,4.415057755E1,9.347262383E0,6.443096161E0
7.018126099E0,3.986705017E1,7.331345081E0,4.592078686E0
7.020168732E0,3.575381088E1,5.629067421E0,2.731784105E0
7.022211332E0,3.378068924E1,4.857835293E0,1.853112102E0
7.024253932E0,3.005052376E1,3.418920040E0,2.489969730E-1
7.026296498E0,2.670582390E1,2.099714994E0,-1.053448796E0
7.028344798E0,2.515438080E1,1.465251446E0,-1.549048543E0
7.030393198E0,2.238638496E1,2.609679997E-1,-2.183511972E0
7.032441664E0,2.010710526E1,-8.259995580E-1,-2.276885748E0
7.034490164E0,1.830187607E1,-1.297657371E0,-1.711854219E0
7.036538697E0,1.757403946E1,-2.061407566E0,-1.194706678E0
7.038587263E0,1.647509956E1,-2.506729126E0,2.968810201E-1
7.040635829E0,1.587894440E1,-2.549824715E0,2.312798738E0
7.042655562E0,1.575444603E1,-2.437297344E0,3.442862034E0
7.044675262E0,1.584063721E1,-1.951274395E0,5.834969044E0
7.046694962E0,1.632666016E1,-1.194706678E0,8.341697693E0
7.048714695E0,1.668579102E1,-7.445967197E-1,9.584288597E0
7.050734461E0,1.758122253E1,2.442085743E-1,1.202876854E1
7.052754261E0,1.872804451E1,1.283292055E0,1.443972969E1
7.054774094E0,1.934095955E1,1.802833915E0,1.559882259E1
7.056793960E0,2.054524422E1,2.743755102E0,1.784458351E1
7.058813826E0,2.159629822E1,3.488351822E0,1.990838623E1
7.060833659E0,2.246778679E1,3.988739967E0,2.165136528E1
7.062852225E0,2.282691765E1,4.158728123E0,2.239596176E1
7.064870725E0,2.338476562E1,4.350264549E0,2.361939812E1
7.066889191E0,2.371995544E1,4.436455727E0,2.445976257E1
7.068907624E0,2.379656982E1,4.419696331E0,2.474497223E1
7.070926124E0,2.376544380E1,4.297592163E0,2.498678589E1
